Wavelength (nm),Raw count,Irradiance (W/m^2/nm),,W/m^2,Total Power
299.435,20.122,0.004049917028985507,4.049917028985506e-05,1.1798649940218276e-05,0.0004914153518133856
299.689,26.321,0.005240358514492754,5.240358514492753e-05,1.3683633635867531e-05,0.0004914153518133856
299.943,27.721,0.0055341561594202905,5.53415615942029e-05,1.2850188206521508e-05,0.0004914153518133856
300.198,22.121,0.004544422826086956,4.544422826086956e-05,1.2094176409421198e-05,0.0004914153518133856
300.452,24.32,0.004978550724637681,4.9785507246376804e-05,1.3973828405798152e-05,0.0004914153518133856
300.706,29.12,0.006024463768115942,6.024463768115942e-05,1.4609180978260608e-05,0.0004914153518133856
300.961,26.52,0.005433717391304348,5.433717391304348e-05,1.1323071521737448e-05,0.0004914153518133856
301.215,16.92,0.003482086956521739,3.4820869565217394e-05,9.07371263224706e-06,0.0004914153518133856
301.469,17.719,0.0036625686594202902,3.66256865942029e-05,1.0152680638586777e-05,0.0004914153518133856
301.724,21.119,0.0043003181159420294,4.30031811594203e-05,1.1258804690218237e-05,0.0004914153518133856
301.978,22.319,0.004564882427536231,4.564882427536231e-05,1.1665964279891095e-05,0.0004914153518133856
302.233,22.318,0.00458489347826087,4.58489347826087e-05,1.4239418076088028e-05,0.0004914153518133856
302.487,32.118,0.0066272467391304355,6.627246739130435e-05,1.865857449637404e-05,0.0004914153518133856
302.741,39.118,0.00806454420289855,8.06454420289855e-05,2.1166551711956143e-05,0.0004914153518133856
302.996,40.518,0.008536672826086958,8.536672826086957e-05,2.1244197405798697e-05,0.0004914153518133856
303.25,39.317,0.008191041666666666,8.191041666666664e-05,2.1540159862320454e-05,0.0004914153518133856
303.504,41.517,0.008769714130434782,8.769714130434782e-05,2.4277151888586525e-05,0.0004914153518133856
303.759,49.517,0.010271189311594204,0.00010271189311594203,2.7622061251807487e-05,0.0004914153518133856
304.013,54.716,0.011478465217391303,0.00011478465217391304,2.802934173913254e-05,0.0004914153518133856
304.267,50.316,0.010591882608695652,0.0001059188260869565,2.4369654293477823e-05,0.0004914153518133856
304.522,40.516,0.008521571739130434,8.521571739130434e-05,2.0296906246378335e-05,0.0004914153518133856
304.776,35.716,0.007460244202898551,7.46024420289855e-05,1.7716034456521418e-05,0.0004914153518133856
305.031,30.515,0.006434684782608694,6.434684782608693e-05,1.568843193840697e-05,0.0004914153518133856
305.285,28.115,0.005918411231884057,5.918411231884057e-05,1.4780067889490556e-05,0.0004914153518133856
305.539,26.915,0.0057194375,5.7194374999999994e-05,1.5365444687499727e-05,0.0004914153518133856
305.794,30.314,0.006331891666666666,6.331891666666666e-05,1.5751279913044663e-05,0.0004914153518133856
306.048,29.114,0.006070690942028986,6.070690942028986e-05,1.3814720873189445e-05,0.0004914153518133856
306.302,23.114,0.004807042028985508,4.8070420289855075e-05,1.1471759836956317e-05,0.0004914153518133856
306.557,20.114,0.004190416666666667,4.1904166666666664e-05,1.2275727971012667e-05,0.0004914153518133856
306.811,26.513,0.005475510869565217,5.475510869565217e-05,1.6476912588769357e-05,0.0004914153518133856
307.065,35.713,0.007498436050724638,7.498436050724638e-05,2.1685262133151787e-05,0.0004914153518133856
307.32,44.713,0.00950961268115942,9.50961268115942e-05,2.5446801800726548e-05,0.0004914153518133856
307.574,50.312,0.010527239130434782,0.00010527239130434782,2.8106033173908863e-05,0.0004914153518133856
307.828,55.312,0.011603495652173912,0.00011603495652173911,2.8846910108701565e-05,0.0004914153518133856
308.083,52.312,0.01102153188405797,0.0001102153188405797,2.530921340579334e-05,0.0004914153518133856
308.337,42.312,0.008906982608695652,8.906982608695651e-05,2.079091084239093e-05,0.0004914153518133856
308.592,34.911,0.0073996141304347824,7.399614130434782e-05,1.718686467572593e-05,0.0004914153518133856
308.846,29.111,0.006133350181159421,6.133350181159421e-05,1.3859331693841622e-05,0.0004914153518133856
309.1,22.511,0.0047795094202898545,4.779509420289854e-05,9.811594347825909e-06,0.0004914153518133856
309.355,13.71,0.002915858695652174,2.9158586956521735e-05,6.149126032607781e-06,0.0004914153518133856
309.609,9.11,0.0019259728260869566,1.9259728260869564e-05,5.768146739130868e-06,0.0004914153518133856
309.863,12.31,0.002615875,2.615875e-05,7.1861078804346544e-06,0.0004914153518133856
310.118,14.51,0.0030202880434782612,3.0202880434782612e-05,7.123673646739666e-06,0.0004914153518133856
310.372,12.309,0.0025889038043478262,2.5889038043478262e-05,9.043576820650829e-06,0.0004914153518133856
310.626,21.309,0.004532022826086957,4.532022826086956e-05,1.406812225543453e-05,0.0004914153518133856
310.881,30.109,0.006501798550724637,6.501798550724637e-05,1.4758353420290963e-05,0.0004914153518133856
